created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Aug 26 11:41:32 +0000 2023;1695401084347666863;"Mencari presiden yang bisa melanjutkan program IKN.";0;0;1;2;in;954223795480313856;1695401084347666863;oryza_wirawan;https://twitter.com/oryza_wirawan/status/1695401084347666863
Sat Aug 26 11:41:22 +0000 2023;1695401045571346833;"@free_witty @BangPakatDayak penghuni ikn nantinya kadrun jg  kadrun gobi....kadal gurun gobi wkwkwk";0;0;0;1;in;1630723054023364608;1695330252321698128;NikelRestar;https://twitter.com/NikelRestar/status/1695401045571346833
Sat Aug 26 11:40:02 +0000 2023;1695400706168291823;"GABUNGAN PERUSAHAN IKN  Ibu kota nusantara https://t.co/x57QzSbNbk";0;0;0;0;in;1487716399111831553;1695400706168291823;12Starsafety;https://twitter.com/12Starsafety/status/1695400706168291823
Sat Aug 26 11:39:11 +0000 2023;1695400492803969267;"@kumparan Gass lha, pindah ke IKN";0;0;0;0;in;957078436706631680;1695263923589575042;hasanulrizqa;https://twitter.com/hasanulrizqa/status/1695400492803969267
Sat Aug 26 11:38:32 +0000 2023;1695400330098561456;"#TolakIKNOligarki  JANGAN KAMU PAKSAKAN IKN DI KALIMANTAN... https://t.co/6I2nGS47Af https://t.co/RW15WGOFJ7";0;0;1;1;in;1650516904010760195;1695400330098561456;Hero212_reborn;https://twitter.com/Hero212_reborn/status/1695400330098561456
Sat Aug 26 11:37:35 +0000 2023;1695400092361183739;"@ileristi @ikn_id Tolong dipertimbangkan kembali pak @jokowi 🫡";0;0;0;1;in;98333673;1695298929993383936;bagiwang;https://twitter.com/bagiwang/status/1695400092361183739
Sat Aug 26 11:33:04 +0000 2023;1695398956388462829;"@kumparan Mending minta mutasi ke propinsi laen drpd ke IKN🤣🤣🤣🤣";0;0;0;0;in;242370736;1695263923589575042;JONIe_ECS;https://twitter.com/JONIe_ECS/status/1695398956388462829
Sat Aug 26 11:30:01 +0000 2023;1695398188205891841;"@KompasTV Solusi tepat IKN pindah..👍👍";0;0;0;0;in;3332507058;1695047766312116694;yogiegolan;https://twitter.com/yogiegolan/status/1695398188205891841
Sat Aug 26 11:28:49 +0000 2023;1695397885565882376;"Emak gw cerita, punya grup alumni. Di grup biasanya diusahain ngbrol yg hepi2 aja, gausah gosip atau bahas politik. Tapi ada 1 bapak2 yg sering tiba2 nyindir anies (tapi gakpernah direspon sama temen2 grup). Trnyata bapak itu skrg kerja di proyek ikn 🤡";2;5;9;58;in;1592807664995643393;1695397885565882376;abiskesuspen;https://twitter.com/abiskesuspen/status/1695397885565882376
Sat Aug 26 11:26:08 +0000 2023;1695397209888665827;"bayangin konser bangtan ternyata di ikn";0;0;0;0;in;1205345521407156224;1695397209888665827;hislittlecrab;https://twitter.com/hislittlecrab/status/1695397209888665827
Sat Aug 26 11:25:21 +0000 2023;1695397014891286639;"@kumparan Wkwkwkwkwkwkwkwkw....  katanya yg pindah akan di kasih rumah dinas lah,...jgn kan rumah, kos2an aja berbagi kamar 😂😂😂  IKN oh IKN";0;0;0;0;in;113822373;1695263923589575042;Kurnia_arif;https://twitter.com/Kurnia_arif/status/1695397014891286639
Sat Aug 26 11:25:05 +0000 2023;1695396946939412900;"Klo aku tahun ini lolos cpns ditugaskan ke IKN juga gpp pak, aku udah bosen di malang";0;0;0;1;in;2175813475;1695396946939412900;lessice___;https://twitter.com/lessice___/status/1695396946939412900
Sat Aug 26 11:24:08 +0000 2023;1695396706182135941;"Ya yang setuju IKN mangga segera pindah kesana.. sok.. jangan bacot...";0;0;0;0;in;1622273934623383552;1695396706182135941;ramden0810;https://twitter.com/ramden0810/status/1695396706182135941
Sat Aug 26 11:19:22 +0000 2023;1695395506162479217;"@strike_bravo_b @PNS_Ababil masih lebih baik ikn daripada ke papua😂";0;0;0;0;in;962576611340988416;1695306569901375640;pemerintah_an;https://twitter.com/pemerintah_an/status/1695395506162479217
Sat Aug 26 11:17:32 +0000 2023;1695395043929157860;"@geloraco Udah tau dana ga cukup masih pula maksa bikin ikn. Sudah lah suruh  aja yang kepengen bikin pake duit'e sendiri!!!!";0;0;0;0;in;1567522373854986240;1695321817039401234;DenyNurdin3;https://twitter.com/DenyNurdin3/status/1695395043929157860
Sat Aug 26 11:09:56 +0000 2023;1695393134925267409;"@strike_bravo_b @PNS_Ababil Kami siap menunggu di IKN ya. wkakakakak";0;0;0;0;in;557909190;1695306569901375640;yannesputra;https://twitter.com/yannesputra/status/1695393134925267409
Sat Aug 26 11:07:37 +0000 2023;1695392549094256942;"@txtdrberseragam Mending ini dah dari pada solusi polusi udara nya pindah ke ikn";0;0;0;0;in;1625788552884944896;1695000408962507001;satria_btg_mrh;https://twitter.com/satria_btg_mrh/status/1695392549094256942
Sat Aug 26 11:06:44 +0000 2023;1695392325936325046;"Guna Ciptakan Situasi Aman dan Kondusif, Satgas Ops Nusantara Mahakam Gelar Patroli Kamtibmas Di Sekitar Kawasan Pembangunan IKN . . . #polripresisi #polriterkini   #polisibaik  #poldakaltim #polresppu #kapolresppu #ppu #iknnusantara #penajam #akbp_hendrik_eka_bahalwan https://t.co/yT6FuT70bD";0;0;0;8;in;1258665113890013184;1695392325936325046;PpuPolres;https://twitter.com/PpuPolres/status/1695392325936325046
Sat Aug 26 11:06:36 +0000 2023;1695392293623328948;"Salah satu alasan kaka milih pindah duluan, daripada nanti harus ke IKN 🤣";0;1;0;1;in;884474026701213696;1695392293623328948;rchrdfrdnsyh;https://twitter.com/rchrdfrdnsyh/status/1695392293623328948
Sat Aug 26 11:03:17 +0000 2023;1695391459447611666;"@dwinucleo @strike_bravo_b @PNS_Ababil Bukan alergi kalimantannya.. tapi gak mau dipaksa tinggal di antah berantah macem IKN.. siapa juga yg mau";0;0;0;10;in;1681547880509902849;1695306569901375640;ImminentDeaths;https://twitter.com/ImminentDeaths/status/1695391459447611666
Sat Aug 26 10:57:46 +0000 2023;1695390072638668843;"IKN Nusantara akan menjadi kebanggaan semua masyarakat Indonesia dengan melihat kecanggihan pembangunan berkonsep smart city di IKN Nusantara #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/fh77IDMmO1";0;0;0;0;in;1356621933152899072;1695390054091542653;sushiitr4shh;https://twitter.com/sushiitr4shh/status/1695390072638668843
Sat Aug 26 10:57:45 +0000 2023;1695390066691223940;"IKN Nusantara akan menjadi kebanggaan semua masyarakat Indonesia dengan melihat kecanggihan pembangunan berkonsep smart city di IKN Nusantara #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/Q6tFzT2tHS";0;1;0;0;in;1356621933152899072;1695390054091542653;sushiitr4shh;https://twitter.com/sushiitr4shh/status/1695390066691223940
Sat Aug 26 10:57:44 +0000 2023;1695390061502861639;"IKN Nusantara akan menjadi kebanggaan semua masyarakat Indonesia dengan melihat kecanggihan pembangunan berkonsep smart city di IKN Nusantara #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/mUtGz7Sm1t";0;1;0;0;in;1356621933152899072;1695390054091542653;sushiitr4shh;https://twitter.com/sushiitr4shh/status/1695390061502861639
Sat Aug 26 10:57:43 +0000 2023;1695390057505653000;"IKN Nusantara akan menjadi kebanggaan semua masyarakat Indonesia dengan melihat kecanggihan pembangunan berkonsep smart city di IKN Nusantara #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/HPwFTKSwba";0;1;0;0;in;1356621933152899072;1695390054091542653;sushiitr4shh;https://twitter.com/sushiitr4shh/status/1695390057505653000
Sat Aug 26 10:57:42 +0000 2023;1695390054091542653;"IKN Nusantara akan menjadi kebanggaan semua masyarakat Indonesia dengan melihat kecanggihan pembangunan berkonsep smart city di IKN Nusantara #IKNPemerataanEkonomi #IKNSejahterakanIndonesia #IKN #IKNtingkatkanKesejahteraan #dukungproyekIKN #IKNNusantara https://t.co/wdCrkthfRM";0;1;0;0;in;1356621933152899072;1695390054091542653;sushiitr4shh;https://twitter.com/sushiitr4shh/status/1695390054091542653
Sat Aug 26 10:55:55 +0000 2023;1695389607226114174;"@tvOneNews Tujuan negara memverdaskan rakyat dan sejahtera tp yg beda pendapat dkriminalisasi.. subsidu cabut utk ka cpt dan ikn";0;0;0;0;in;1605646028920983552;1694697357693394960;jack_alenzo;https://twitter.com/jack_alenzo/status/1695389607226114174
Sat Aug 26 10:55:18 +0000 2023;1695389449168048564;"Sunsidi orang kaya mobil listrik BBM LPG tarif listrik dicabut Subsidi pupuk petani di pangkas Apbn untuk kesejahteraan rakyat di alihkan modal bangun IKN? https://t.co/H3HnqIqbMe";0;0;0;0;in;1359071931153018881;1695389449168048564;AcoyBk;https://twitter.com/AcoyBk/status/1695389449168048564
Sat Aug 26 10:54:42 +0000 2023;1695389297787207911;"@rafinashra @strike_bravo_b @PNS_Ababil Pak anis juga gk berani sih kayaknya batalin ikn";0;3;0;1;in;1053546477866250240;1695306569901375640;RianizarFahmi;https://twitter.com/RianizarFahmi/status/1695389297787207911
Sat Aug 26 10:53:43 +0000 2023;1695389052709802320;"@BangPakatDayak Alhamdulillah Dayak bersatu demi IKN dan dari Sabang hingga Merauke🤗🤗🤗🤗🤗🤗🤗🤗";0;0;0;0;in;1317328704989614081;1695330252321698128;dfra77;https://twitter.com/dfra77/status/1695389052709802320
Sat Aug 26 10:52:22 +0000 2023;1695388713445216504;"Kasian orang ini, kerjaan nya kalo gak jadi profokator ya bohong.  Sini miem maen ke IKN, liat sendiri mata mu itu, ada bangsa China apa gak yang kerja disitu.  Dasar!!!!👊👊👊 https://t.co/8ylZc181U7";1;6;8;17;in;1121449436;1695388713445216504;muispebrianto;https://twitter.com/muispebrianto/status/1695388713445216504
Sat Aug 26 10:49:07 +0000 2023;1695387892603048225;"Salah kali ini redaksinya. Kan PNS yang ke IKN berangkat dengan keluarga. Ada sekolah anak. Mungkin maksudnya satu rumah 6 KK.  Atau IKN itu khusus PNS yang childfree?";0;1;1;0;in;185320244;1695387892603048225;ruliemaulana;https://twitter.com/ruliemaulana/status/1695387892603048225
Sat Aug 26 10:47:01 +0000 2023;1695387366108938607;"@Justice83856095 @WahyuPurono @geloraco Jembatan IKN yg mana lagi kadal kalo bukan Pulau Balang? Lu orang Kaltim bukan dal? 😂";0;2;0;0;in;138979913;1695329036778790997;jerrysarimole;https://twitter.com/jerrysarimole/status/1695387366108938607
Sat Aug 26 10:45:01 +0000 2023;1695386861789929871;"@in_makiy @strike_bravo_b @PNS_Ababil Kayaknya yg pro ikn lebih banyak dari yg anti ikn, buktinya anies ga brani bilang akan stop ikn klo dia jd presiden";0;0;0;0;in;709961863;1695306569901375640;rafinashra;https://twitter.com/rafinashra/status/1695386861789929871
Sat Aug 26 10:44:30 +0000 2023;1695386734002114909;"IKN?  Tunggu tgl mainnya !! https://t.co/Dx0uYXiDjO";0;0;0;0;in;1359071931153018881;1695386734002114909;AcoyBk;https://twitter.com/AcoyBk/status/1695386734002114909
Sat Aug 26 10:43:37 +0000 2023;1695386512211472630;"@BangPakatDayak Saya sih seneng2 saja kalian suku Dayak mati2 an bela IKN Nanti kalo kedepan kalian dah gak punya tanah baru nangis Bombay Silahkan skrg kalian dgn kemauan kalian Kami di luar Kalimantan mau nengok saja";3;47;5;91;in;2599348021;1695330252321698128;AyatMamas;https://twitter.com/AyatMamas/status/1695386512211472630
Sat Aug 26 10:41:22 +0000 2023;1695385942432034889;"Temen gw asn imigrasi Yang ortu nya jg tajir, gaya hidup temen gw lux di jkt Tbtb pas jabat kanim di Sulawesi ya manut Ini kenapa pindah IKN pd takut semua ya🙄 Kan harusnya siap mengabdi di seluruh Indonesia";0;0;0;0;in;58173131;1695385942432034889;jeep_jeff_jip;https://twitter.com/jeep_jeff_jip/status/1695385942432034889
Sat Aug 26 10:36:17 +0000 2023;1695384665014857739;"Siapa Sukanto Tanoto? Taipan yang Mau Ongkosi Proyek IKN Jokowi  Chanyeol Salome Yusuf Dipelihara jaemin Apri Daddies Su-35 JUNGKOOK Chanyeol renjun Mane renjun LEE JENO #พรินเซสแพรเดย์ #NyomanPaul #dita #HANBIN #CristianoRonaldo https://t.co/Uohmwgz4mE";0;0;0;0;in;1456949178421100548;1695384665014857739;news_wanheart;https://twitter.com/news_wanheart/status/1695384665014857739
Sat Aug 26 10:33:26 +0000 2023;1695383947277217958;"Siapa Sukanto Tanoto? Taipan yang Mau Ongkosi Proyek IKN Jokowi https://t.co/TXViPelG2L";0;0;0;0;in;1225432911899324419;1695383947277217958;RepelitaO;https://twitter.com/RepelitaO/status/1695383947277217958
Sat Aug 26 10:31:08 +0000 2023;1695383368333156386;"@biiinsenator @prastow Sy cuma ungkapkan keresahan rakyat dibawah yg pusing karena susah cari kerja apa ibu Sri M tau ? Tentu tau dong beliau kan begawan ekonomi terus knp malah sibuk urus copras capres dan IKN bukan urus kesejahteraan rakyat banyak wahai penguasa.";0;0;0;0;in;1604820700615020545;1695222286146834829;Yedi_ExTKI;https://twitter.com/Yedi_ExTKI/status/1695383368333156386
Sat Aug 26 10:30:08 +0000 2023;1695383115852919048;"@strike_bravo_b @PNS_Ababil Maulah saya ke IKN tp gangerti dibutuhkan apa enggak 🫠";0;0;0;0;in;782315827;1695306569901375640;masikik;https://twitter.com/masikik/status/1695383115852919048
Sat Aug 26 10:29:53 +0000 2023;1695383055119360056;"@jumintenkoplak @1d1d111111 5 th kedepan jelas fisik beda tambah lebih muda, ganteng dan kuat tentu nya... Kalo rezki urusan diatas... IKN Nusantara tentu sudah jadi..siap pindah  Joos gandos Posisi : jembatan suramadu https://t.co/tZwjv5PMDT";0;0;0;1;in;1322542259191963649;1695073251091939661;langityang7;https://twitter.com/langityang7/status/1695383055119360056
Sat Aug 26 10:29:30 +0000 2023;1695382959409578102;"@strike_bravo_b @PNS_Ababil sini tukeran aja sama aku, aku yg kerja di ikn, mereka yg pengangguran hehe";0;1;0;16;in;1478773466866208771;1695306569901375640;incesssxcztz;https://twitter.com/incesssxcztz/status/1695382959409578102
Sat Aug 26 10:28:01 +0000 2023;1695382585348911293;"@geloraco Banyak PNS yg pensiun dini kalo dipindah ke IKN sbb jalan hidup merka akan kembali pd titik nol";0;0;0;0;in;1409544050;1695321817039401234;wong_baek;https://twitter.com/wong_baek/status/1695382585348911293
Sat Aug 26 10:27:43 +0000 2023;1695382508698042460;"@strike_bravo_b @PNS_Ababil Sini kutunggu IKN WKWKWK";0;0;0;0;in;1084396567644106753;1695306569901375640;hattamaulana07;https://twitter.com/hattamaulana07/status/1695382508698042460
Sat Aug 26 10:26:35 +0000 2023;1695382225318302023;"@AuslanderDon Next nya juga kalo ganti rezim trus ngambis mau bkin legacy sndiri gak mau ngurus IKN yaaaaaa wallahua’lam";0;0;0;0;in;97646351;1695378949013144046;mooniyy;https://twitter.com/mooniyy/status/1695382225318302023
Sat Aug 26 10:26:16 +0000 2023;1695382145467109785;"@strike_bravo_b @PNS_Ababil Kalo ada lowongan PNS buat IKN aku mau dong 😂 diutamakan dinkes atau kementerian kesehatan, hehe, tengkyu 🙏😂";0;0;0;0;in;1871947446;1695306569901375640;tara_geo;https://twitter.com/tara_geo/status/1695382145467109785
Sat Aug 26 10:25:32 +0000 2023;1695381959919419587;"@strike_bravo_b @PNS_Ababil Iya gpp kalo gak jadi ke ikn, kita yg disini malah bersyukur krn gak menuhin kota dan gak bikin macet jalanan di pinggiran kota krn pengawalan ini itu yg menuju IKN. Biarkan kami hidup dengan lalu lintas tanpa macet dan udara bersih.";0;0;1;2;in;715983823;1695306569901375640;AlnissaStore;https://twitter.com/AlnissaStore/status/1695381959919419587
Sat Aug 26 10:16:41 +0000 2023;1695379732643406278;"@geloraco Ikn buang² duit";0;0;0;0;in;1039509356650233857;1695321817039401234;darkkkwallpaper;https://twitter.com/darkkkwallpaper/status/1695379732643406278
Sat Aug 26 10:16:17 +0000 2023;1695379630503719107;"Ketua Fraksi Partai Demokrat Edhie Baskoro Yudhoyono berpandangan bahwa anggaran IKN sebesar Rp40 triliun sangat besar dan kontras jika dibandingkan dengan anggaran pembangunan dan pemerataan daerah lain di Indonesia.   Read More: https://t.co/IeAwxJYCs0  #IbasNews  #pdemokrat https://t.co/qxfvd094eo";0;1;19;33;in;1288864373885132800;1695379630503719107;IbasNews;https://twitter.com/IbasNews/status/1695379630503719107
Sat Aug 26 10:11:35 +0000 2023;1695378450390167694;"Ada semangat IKN Nusantara di Karnaval Blora kategori SMA Sederajat yang ditampilkan SMKN 2 Blora, keren sudah kayak gadis dayak...!!   Yang lainnya juga kreatif kreatif. Ada tema sesarengan mbangun dalan, cosplay jadi kyai, dll. Berikut dokumentasi kategori SMA sederajat. https://t.co/zGfHSVjgM1";0;1;0;10;in;1490311333;1695378450390167694;AriefRohman_838;https://twitter.com/AriefRohman_838/status/1695378450390167694
Sat Aug 26 10:08:17 +0000 2023;1695377619880182073;"@fotodeka @ariearnanda @kumparan Masalahnya bukan dibebankan kepada siapa... tapi itu IKN proyek ga penting banget, msh banyak yg jauh lebih penting dan mendasar. Eh.. tetap aja dipaksain,jd IKN buat siapa?";0;0;0;0;in;1604339813699944448;1695263923589575042;mackq_19;https://twitter.com/mackq_19/status/1695377619880182073
Sat Aug 26 10:07:23 +0000 2023;1695377393379385653;"@MichelAdam9191 Dudu pki, bukan pki, tapi preman miskin adab,  jualan nkri harga matpi tapi biarkan bosnya obral jualan tanah ikn ke asing.";0;0;0;0;in;1652678276941508608;1695245892755100005;yumi_cumi00;https://twitter.com/yumi_cumi00/status/1695377393379385653
Sat Aug 26 10:04:42 +0000 2023;1695376714774569409;"Apa kabar IKN?!? https://t.co/E3jiuzjqxe";0;0;1;3;in;1541441482959503360;1695376714774569409;DanteSpeak_USA_;https://twitter.com/DanteSpeak_USA_/status/1695376714774569409
