created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Aug 26 15:24:36 +0000 2023;1695457222078480517;"@shownuscbd Hooo kamu udah wfh sekarang al? Istirahaat makan yg bener, mumpung di solo puas puasin udara bersih Aku ga nonton cuma temen2 dari bandung mau pada kesana jadi kayaknya mau main doang ke ancolnya";0;1;0;1;in;1128364045;1695427906737246281;hyungwonana;https://twitter.com/hyungwonana/status/1695457222078480517
Sat Aug 26 15:24:18 +0000 2023;1695457145733738909;"@convomfs Wajar banget kok sedih, nangis aja sampe puas. Nanti kalo udah tenang dan kepalanya dingin, baru cari alternatif lain. Kuliah gampang kok skrng banyak yg murah dan bisa start dari umur berapa aja, coba skrng km asah skill yg berguna buat wfh deh. Goodluck yaa.";0;0;0;0;in;3871803965;1695456338779021373;taarufonline;https://twitter.com/taarufonline/status/1695457145733738909
Sat Aug 26 15:08:59 +0000 2023;1695453293768749263;"@jeongminskz seninnya wfh brarti kn minggu udh ‘ngantor’";0;1;0;0;in;1330169636491583489;1695447272912527510;skyisclair;https://twitter.com/skyisclair/status/1695453293768749263
Sat Aug 26 15:06:37 +0000 2023;1695452695132586345;"Ga dangerous tah? Resiko ga si";0;0;0;0;in;1147217780996919296;1695452695132586345;hapskyy;https://twitter.com/hapskyy/status/1695452695132586345
Sat Aug 26 15:05:37 +0000 2023;1695452443625357788;"@senjatanuklir Sudah saatnya akan ada lockdown jilid 2, utk permulaan ASN dan Pelajar dulu yg WFH dan PJJ sedangkan swasta dan umum akan menyusul, demikianlah maklumat ini dibuat utk menyambut Plandemi jilid 2, enjoy it, you will own nothing and you will be happy‼️🙊🐷😈";0;0;0;0;in;1007332771943993344;1695374633120489952;DeConstantine1;https://twitter.com/DeConstantine1/status/1695452443625357788
Sat Aug 26 15:05:20 +0000 2023;1695452374171861503;"Nah yang ngotot bikin kebijakan WFH itu berarti tolol. Karena polusi tertinggi bukan pada hari kerja tetapi ahir pekan dimana orang libur kerja. Jadi dasarnya apa bikin kebijakan WFH tanpa kajian.  Bikin kbjakan iru berdasar kajian buakan asumsi atau main tebakan seperti dukun!";0;0;0;0;in;938290267001704449;1695452374171861503;ekojhones77;https://twitter.com/ekojhones77/status/1695452374171861503
Sat Aug 26 15:04:52 +0000 2023;1695452254843855132;"apalagi klo wfh tpi rumah ga kondusif nah makan tuh wfh";0;0;0;0;in;1374454218111676425;1695452254843855132;pieceofkeikoo;https://twitter.com/pieceofkeikoo/status/1695452254843855132
Sat Aug 26 15:01:53 +0000 2023;1695451503837004137;"@astronoust kalau sekolah aku kurang tau seperti apa, tapi beberapa kantor sedang wfh. beda-beda sihh.";0;1;0;0;in;1288780932820819968;1695446891658612876;kojengsupremacy;https://twitter.com/kojengsupremacy/status/1695451503837004137
Sat Aug 26 14:57:47 +0000 2023;1695450473095168489;"@astronoust daerah jakarta kah? kalau iya memang lagi pada wfh lagi karena polusi jakarta";0;1;0;0;in;1288780932820819968;1695446891658612876;kojengsupremacy;https://twitter.com/kojengsupremacy/status/1695450473095168489
Sat Aug 26 14:56:06 +0000 2023;1695450051693486319;"Komnas HAM Kritik Kebijakan WFH, Nilai Tak Bisa Atasi Masalah Polusi https://t.co/6Lgycdu6VL";0;0;1;1;in;978806873720700928;1695450051693486319;Redaksi_5News;https://twitter.com/Redaksi_5News/status/1695450051693486319
Sat Aug 26 14:55:01 +0000 2023;1695449778858197096;"Berdoa kantorku ngga akan wfh soalnya kalau wfh gaakan dapet duit 🥲🥲🥲👍🏻";0;0;0;1;in;1338159257758253057;1695449778858197096;romttana;https://twitter.com/romttana/status/1695449778858197096
Sat Aug 26 14:51:06 +0000 2023;1695448793410584723;"Kerja full WFH, sabtu minggu libur, salary alhamdulillah cukup, bisa disambi ngerjain job lain yang paling wajib disyukuri, Hablum minallah, Hablum minannas dan Birrul walidain alhamdulillah lebih bisa dijaga dan diperjuangkan";0;0;0;2;in;3112682818;1695448793410584723;krisdian_d;https://twitter.com/krisdian_d/status/1695448793410584723
Sat Aug 26 14:51:01 +0000 2023;1695448770320929076;"Waktunya Senen WFH 😎";0;0;0;1;in;1553811982741999616;1695448770320929076;diyasmovic;https://twitter.com/diyasmovic/status/1695448770320929076
